Id,Label,Classes,Group
0,Alcibiades1,Alcibiades1,1
1,Alcibiades2,Alcibiades2,2
2,Apology,Apology,3
3,Axiochus,Axiochus,4
4,Charmides,Charmides,5
5,Cleitophon,Cleitophon,6
6,Cratylus,Cratylus,7
7,Critias,Critias,8
8,Crito,Crito,9
9,DeIusto,DeIusto,10
10,Demodocus1,Demodocus1,11
11,Demodocus2-4,Demodocus2-4,12
12,DeVirtute,DeVirtute,13
13,Epinomis,Epinomis,14
14,Eryxias,Eryxias,15
15,Euthydemus,Euthydemus,16
16,Euthyphro,Euthyphro,17
17,Gorgias,Gorgias,18
18,Halcyon,Halcyon,19
19,Hipparchus,Hipparchus,20
20,HippiasMa,HippiasMa,21
21,HippiasMi,HippiasMi,22
22,Ion,Ion,23
23,Laches,Laches,24
24,Laws1,Laws1,25
25,Laws10,Laws10,26
26,Laws11,Laws11,27
27,Laws12,Laws12,28
28,Laws2,Laws2,29
29,Laws3,Laws3,30
30,Laws4,Laws4,31
31,Laws5,Laws5,32
32,Laws6,Laws6,33
33,Laws7,Laws7,34
34,Laws8,Laws8,35
35,Laws9,Laws9,36
36,Lovers,Lovers,37
37,Lysis,Lysis,38
38,Menexenus,Menexenus,39
39,Meno,Meno,40
40,Minos,Minos,41
41,Parmenides,Parmenides,42
42,Phaedo,Phaedo,43
43,Phaedrus,Phaedrus,44
44,Philebus,Philebus,45
45,Protagoras,Protagoras,46
46,Republic1,Republic1,47
47,Republic10,Republic10,48
48,Republic2,Republic2,49
49,Republic3,Republic3,50
50,Republic4,Republic4,51
51,Republic5,Republic5,52
52,Republic6,Republic6,53
53,Republic7,Republic7,54
54,Republic8,Republic8,55
55,Republic9,Republic9,56
56,Sisyphus,Sisyphus,57
57,Sophist,Sophist,58
58,Statesman,Statesman,59
59,Symposium,Symposium,60
60,Theaetetus,Theaetetus,61
61,Theages,Theages,62
62,Timaeus,Timaeus,63
